region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
AB,ab,Alberta,agree,probably yes,yes,extremely comfortable,important,that depends ,no,,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,agree,disagree,neither disagree nor agree,neither disagree nor agree,,44,canada,female,graduate degree,i am not currently studying,1,no,,less than 30 minutes
other,russia,Alberta,strongly agree,probably yes,yes,extremely comfortable,important,,no,,zed,important,definitely yes,definitely yes,probably yes,,british english,sometimes,yes,yes,definitely yes,might or might not,disagree,agree,agree,neither disagree nor agree,probably yes,44,canada,male,postgraduate degree,i am not currently studying,3,no,,30 minutes to 1 hour
AB,ab,Alberta,agree,probably yes,no,,unimportant,no,no,,both,unimportant,probably yes,probably not,probably not,no,british english,often,,yes,probably yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,49,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly disagreee,neutral,yes,neither comfortable nor uncomfortable,extremely important,yes,no,,zed,important,definitely yes,probably not,probably yes,,british english,rarely,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,strongly disagree,probably yes,54,canada,female,undergraduate degree,i am not currently studying,3,no,,12 hours
AB,ab,Alberta,strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,,no particular variety,sometimes,yes,neither yes or no,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,,29,canada,female,other ,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,probably not,yes,moderately uncomfortable,extremely important,no,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,64,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
SK,sk,Alberta,strongly agree,definitely yes,no,,important,yes,no,,zed,important,probably yes,probably yes,probably not,,canadian english,sometimes,,yes,probably yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,69,canada,male,high school,i am not currently studying,0,yes ,9,30 minutes to 1 hour
SK,sk,Alberta,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,unimportant,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,39,canada,female,graduate degree,i am not currently studying,0,no,,12 hours
QC,qc,Quebec,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,not sure,,zed,neither unimportant nor important,definitely yes,probably yes,probably not,yes ,no particular variety,rarely,yes,yes,,probably yes,strongly agree,strongly agree,strongly agree,neither disagree nor agree,probably yes,29,canada,female,undergraduate degree,i am not currently studying,11,no,,less than 30 minutes
other,china,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,,yes,not sure,,not sure,important,might or might not,,,,canadian english,sometimes,,yes,,probably yes,agree,agree,,neither disagree nor agree,,34,canada,female,undergraduate degree,i am not currently studying,5,no,,12 hours
AB,ab,Alberta,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,unimportant,yes,no,,zed,neither unimportant nor important,probably not,probably yes,probably not,no,no particular variety,rarely,no,,definitely yes,definitely yes,disagree,strongly disagree,agree,disagree,probably yes,49,canada,male,undergraduate degree,i am not currently studying,0,yes ,2,less than 30 minutes
AB,ab,Alberta,strongly disagreee,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,definitely yes,probably not,yes ,british english,often,yes,yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,male,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
other,,Alberta,somewhat agree,neutral,yes,moderately comfortable,important,yes,no,,zed,very important,probably yes,probably yes,probably not,,no particular variety,sometimes,yes,yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,disagree,probably yes,44,canada,male,undergraduate degree,i am not currently studying,0,,,
other,,other,strongly agree,probably yes,yes,moderately uncomfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,probably yes,probably yes,disagree,disagree,agree,agree,probably yes,49,canada,other,,,0,,,
other,,British Columbia,agree,probably yes,no,,extremely important,no,no,,zed,very unimportant,definitely yes,,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,probably yes,34,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,both,important,definitely yes,definitely not,definitely not,yes ,british english,often,yes,no,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
other,,Alberta,agree,definitely not,no,,important,that depends ,no,,both,very important,definitely yes,,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,probably yes,strongly agree,disagree,strongly agree,disagree,probably yes,19,canada,female,high school,i am not currently studying,0,no,,12 hours
ON,on,Manitoba,agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,probably yes,definitely yes,definitely not,yes ,canadian english,sometimes,yes,yes,definitely yes,might or might not,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,59,canada,male,undergraduate degree,i am not currently studying,0,no,,i dont use social media
AB,ab,Alberta,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,not sure,,both,neither unimportant nor important,probably yes,definitely yes,definitely not,,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,probably not,34,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,,probably not,no,,important,that depends ,no,,both,very important,definitely yes,probably yes,probably not,,british english,often,yes,definitely yes,definitely yes,definitely yes,agree,strongly disagree,strongly agree,agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,,no particular variety,often,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,strongly agree,definitely yes,39,canada,male,other ,i am not currently studying,0,yes ,0,12 hours
AB,ab,Alberta,strongly agree,probably not,yes,neither comfortable nor uncomfortable,extremely important,that depends ,no,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,often,no,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
MB,mb,Manitoba,agree,neutral,no,,important,no,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,probably yes,definitely not,,no particular variety,sometimes,yes,yes,probably yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,strongly disagree,,44,canada,male,high school,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,probably yes,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,probably not,no,canadian english,often,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,definitely yes,34,canada,female,graduate degree,i am not currently studying,2,no,,24 hours
UK,uk,other,strongly agree,probably yes,yes,does not apply to me ,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,,no,british english,often,,no,definitely yes,probably yes,strongly agree,strongly agree,agree,neither disagree nor agree,definitely yes,84,italy,female,graduate degree,i am not currently studying,4,yes ,3,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,that depends ,no,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,39,canada,female,other ,i am not currently studying,0,no,,46 hours
other,india,British Columbia,strongly agree,probably not,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably not,probably not,yes ,british english,rarely,yes,yes,probably not,definitely yes,agree,neither disagree nor agree,agree,disagree,probably yes,29,canada,female,graduate degree,i am not currently studying,7,,,12 hours
other,,Alberta,strongly agree,neutral,yes,neither comfortable nor uncomfortable,extremely important,yes,not sure,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,,british english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,disagree,agree,neither disagree nor agree,definitely yes,54,canada,female,undergraduate degree,i am not currently studying,1,yes ,12,12 hours
UK,uk,other,strongly agree,probably yes,yes,does not apply to me ,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably not,,british english,rarely,yes,neither yes or no,probably yes,probably yes,agree,agree,agree,agree,probably yes,34,united kingdom,male,postgraduate degree,i am not currently studying,0,yes ,15,24 hours
MB,mb,Manitoba,somewhat agree,neutral,yes,extremely comfortable,extremely important,yes,no,,zed,important,probably yes,probably not,probably yes,,other ,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,disagree,disagree,probably yes,44,canada,male,other ,i am not currently studying,0,no,,24 hours
ON,on,British Columbia,strongly agree,probably yes,no,,important,no,yes,,zed,important,might or might not,definitely yes,definitely not,yes ,no particular variety,,yes,yes,probably yes,probably yes,disagree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,59,canada,female,postgraduate degree,i am not currently studying,0,yes ,14,12 hours
